book,chunk,text
Phm,1,παῦλος δέσμιος χριστός ἰησοῦς καί τιμόθεος ὁ ἀδελφός φιλήμων ὁ ἀγαπητός καί συνεργός ἡμεῖς καί ἀπφία ὁ ⸀ἀδελφή καί ἄρχιππος ὁ συστρατιώτης ἡμεῖς καί ὁ κατά οἶκος σύ ἐκκλησία · χάρις σύ καί εἰρήνη ἀπό θεός πατήρ ἡμεῖς καί κύριος ἰησοῦς χριστός εὐχαριστέω ὁ θεός ἐγώ πάντοτε μνεία σύ ποιέω
Phm,2,ἐπί ὁ προσευχή ἐγώ ἀκούω σύ ὁ ἀγάπη καί ὁ πίστις ὅς ἔχω ⸀πρός ὁ κύριος ἰησοῦς καί εἰς πᾶς ὁ ἅγιος ὅπως ὁ κοινωνία ὁ πίστις σύ ἐνεργής γίγνομαι ἐν ἐπίγνωσις πᾶς ἀγαθός ⸀τοῦ ἐν ἡμεῖς εἰς ⸀Χριστός · ⸀χαρά γάρ ⸂πολύς ἔσχον⸃ καί παράκλησις ἐπί ὁ ἀγάπη σύ
Phm,3,ὅτι ὁ σπλάγχνον ὁ ἅγιος ἀναπαύω διά σύ ἀδελφός διό πολύς ἐν χριστός παρρησία ἔχω ἐπιτάσσω σύ ὁ ἀνήκω διά ὁ ἀγάπη μᾶλλον παρακαλέω τοιοῦτος εἰμί ὡς παῦλος πρεσβύτης νυνί δέ καί δέσμιος ⸂Χριστός Ἰησοῦ⸃— παρακαλέω σύ περί ὁ ἐμός τέκνον ὅς γεννάω ἐν ὁ ⸀δεσμός ὀνήσιμος ὁ ποτε σύ
Phm,4,ἄχρηστος νυνί ⸀δὲ σύ καί ἐγώ εὔχρηστος ὅς ἀναπέμπω ⸂σύ αὐτός τοῦτ ἐ’ εἰμί ὁ ἐμός σπλάγχνα⸃ · ὅς ἐγώ βούλομαι πρός ἐμαυτοῦ κατέχω ἵνα ὑπέρ σύ ⸂μοι διακονῇ⸃ ἐν ὁ δεσμός ὁ εὐαγγέλιον χωρίς δέ ὁ σός γνώμη οὐδείς ἐθέλω ποιέω ἵνα μή ὡς κατά ἀνάγκη ὁ ἀγαθός σύ
Phm,5,εἰμί ἀλλά κατά ἑκούσιος · τάχα γάρ διά οὗτος χωρίζω πρός ὥρα ἵνα αἰώνιος αὐτός ἀπέχω οὐκέτι ὡς δοῦλος ἀλλά ὑπέρ δοῦλος ἀδελφός ἀγαπητός μάλιστα ἐγώ πόσος δέ μᾶλλον σύ καί ἐν σάρξ καί ἐν κύριος εἰ οὖν ἐγώ ἔχω κοινωνός προσλαμβάνω αὐτός ὡς ἐγώ εἰ δέ τις ἀδικέω σύ
Phm,6,ἤ ὀφείλω οὗτος ἐγώ ⸀ἐλλογέω · ἐγώ παῦλος γράφω ὁ ἐμός χείρ ἐγώ ἀποτίνω · ἵνα μή λέγω σύ ὅτι καί σεαυτοῦ ἐγώ προσοφείλω ναί ἀδελφός ἐγώ σύ ὀνίνημι ἐν κύριος · ἀναπαύω ἐγώ ὁ σπλάγχνον ἐν ⸀Χριστός πείθω ὁ ὑπακοή σύ γράφω σύ οἶδα ὅτι καί ὑπέρ ⸀ἃ λέγω
Phm,7,ποιέω ἅμα δέ καί ἑτοιμάζω ἐγώ ξενία ἐλπίζω γάρ ὅτι διά ὁ προσευχή ὑμεῖς χαρίζομαι σύ ⸀Ἀσπάζομαι σύ ἐπαφρᾶς ὁ συναιχμάλωτος ἐγώ ἐν χριστός ἰησοῦς μᾶρκος ἀρίσταρχος δημᾶς λουκᾶς ὁ συνεργός ἐγώ ὁ χάρις ὁ ⸀κύριος ἰησοῦς χριστός μετά ὁ πνεῦμα ⸀ὑμῶν
1Th,1,παῦλος καί σιλουανός καί τιμόθεος ὁ ἐκκλησία θεσσαλονικεύς ἐν θεός πατήρ καί κύριος ἰησοῦς χριστός · χάρις ὑμεῖς καί ⸀εἰρήνη εὐχαριστέω ὁ θεός πάντοτε περί πᾶς ὑμεῖς ⸀μνεία ποιέω ἐπί ὁ προσευχή ἡμεῖς ἀδιαλείπτως μνημονεύω ὑμεῖς ὁ ἔργον ὁ πίστις καί ὁ κόπος ὁ ἀγάπη καί ὁ ὑπομονή ὁ ἐλπίς
1Th,2,ὁ κύριος ἡμεῖς ἰησοῦς χριστός ἔμπροσθεν ὁ θεός καί πατήρ ἡμεῖς οἶδα ἀδελφός ἀγαπάω ὑπό ⸀θεός ὁ ἐκλογή ὑμεῖς ὅτι ὁ εὐαγγέλιον ἡμεῖς οὐ γίγνομαι εἰς ὑμεῖς ἐν λόγος μόνος ἀλλά καί ἐν δύναμις καί ἐν πνεῦμα ἅγιος ⸀καί πληροφορία πολύς καθώς οἶδα οἷος γίγνομαι ⸀ἐν ὑμεῖς διὰ ὑμεῖς ·
1Th,3,καί ὑμεῖς μιμητής ἡμεῖς γίγνομαι καί ὁ κύριος δέχομαι ὁ λόγος ἐν θλῖψις πολύς μετά χαρά πνεῦμα ἅγιος ὥστε γίγνομαι ὑμεῖς ⸀τύπος πᾶς ὁ πιστεύω ἐν ὁ μακεδονία καί ⸀ἐν ὁ ἀχαΐα ἀπό ὑμεῖς γάρ ἐξηχέω ὁ λόγος ὁ κύριος οὐ μόνος ἐν ὁ μακεδονία ⸀καί ἀχαΐα ⸀ἀλλ ά ἐν
1Th,4,πᾶς τόπος ὁ πίστις ὑμεῖς ὁ πρός ὁ θεός ἐξέρχομαι ὥστε μή χρεία ⸂ἔχω ἡμᾶς⸃ λαλέω τις · αὐτός γάρ περί ἡμεῖς ἀπαγγέλλω ὁποῖος εἴσοδος ἔχω πρός ὑμεῖς καί πῶς ἐπιστρέφω πρός ὁ θεός ἀπό ὁ εἴδωλον δουλεύω θεός ζῶ καί ἀληθινός καί ἀναμένω ὁ υἱός αὐτός ἐκ ὁ οὐρανός
1Th,5,ὅς ἐγείρω ἐκ ὁ νεκρός ἰησοῦς ὁ ἐρύω ἡμεῖς ⸀ἐκ ὁ ὀργή ὁ ἔρχομαι αὐτός γάρ οἶδα ἀδελφός ὁ εἴσοδος ἡμεῖς ὁ πρός ὑμεῖς ὅτι οὐ κενός γίγνομαι ἀλλά προπάσχω καί ὑβρίζω καθώς οἶδα ἐν φίλιπποι παρρησιάζομαι ἐν ὁ θεός ἡμεῖς λαλέω πρός ὑμεῖς ὁ εὐαγγέλιον ὁ θεός ἐν πολύς
1Th,6,ἀγών ὁ γάρ παράκλησις ἡμεῖς οὐ ἐκ πλάνη οὐδέ ἐκ ἀκαθαρσία ⸀οὐδέ ἐν δόλος ἀλλά καθώς δοκιμάζω ὑπό ὁ θεός πιστεύω ὁ εὐαγγέλιον οὕτω(ς) λαλέω οὐ ὡς ἄνθρωπος ἀρέσκω ἀλλά ⸀θεός ὁ δοκιμάζω ὁ καρδία ἡμεῖς οὔτε γάρ ποτε ἐν λόγος κολακεία γίγνομαι καθώς οἶδα οὔτε ⸀ἐν πρόφασις πλεονεξία θεός
